"","KCL code","name","ancestry_details","ancestry.x","sex.x","category_name","year.x","pmid","trait_detail","h2.observed","h2.se","h2.z","lambda.GC","mean.chi.2"
"159","COAD01","Coronary Artery Disease (European, South Asian and East Asian) additive model","European and South Asian (Pakistan, India) and East Asian (China, Korea) and Hispanic and African Americans, but mostly European","MIX","both","circulatory",2015,26343387,"Coronary Artery Disease (European and South Asian and East Asian, 1000 Genomes-based GWAS ): additive model",0.0661,0.0045,14.6888889,1.0466,1.126
"160","COAD02","Coronary Artery Disease (European, South Asian and East Asian) recessive model","European and South Asian (Pakistan, India) and East Asian (China, Korea) and Hispanic and African Americans","MIX","both","circulatory",2015,26343387,"Coronary Artery Disease (European and South Asian and East Asian, 1000 Genomes-based GWAS ): recessive model",0.0179,0.002,8.95,1.0105,1.0255
"161","COAD03","Coronary Artery Disease","European (UKBB)","EUR","both","circulatory",2017,28714975,"Coronary Artery Disease",0.0438,0.0026,16.8461539,1.0466,1.1423
"162","COLL01","Binary variable for college completion","European","EUR","both","mental and behavioural",2013,23722424,"Binary variable for college completion (College)",0.1048,0.0075,13.9733333,1.194,1.2224
"163","CONS01","Conscientiousness (NEO five factor inventory)","European","EUR","both","mental and behavioural",2012,21173776,"Conscientiousness (NEO five factor inventory)",0.0752,0.0292,2.57534247,1.0195,1.026
"164","CROH01","Crohn's disease","European","EUR","both","autoimmune",2015,26192919,"Crohn's disease",0.4751,0.0538,8.83085502,1.1396,1.2302
"165","CROH03","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"166","CROS01","Cross-psychiatric disorders (ADHD, autism, bipolar disorder, and schizophrenia)","European","EUR","both","mental and behavioural",2013,23453885,"Cross-psychiatric disorders",0.1749,0.0106,16.5,1.1973,1.2191
"167","CSFU01","","","","","",NA,NA,"",1.011243,NA,NA,NA,NA
"168","CSFU02","","","","","",NA,NA,"",1.005142,NA,NA,NA,NA
"169","CSFU03","","","","","",NA,NA,"",1.003738,NA,NA,NA,NA
"170","CSFU04","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"171","CSFU05","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"172","CSFU06","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"173","DEPR02","Depressive symptoms","European","EUR","both","mental and behavioural",2016,27089181,"Depressive symptoms",0.0472,0.0037,12.7567568,1.1333,1.1531
"174","DEPR03","Major depressive disorder (PGC1)","European","EUR","both","mental and behavioural",2013,22472876,"Major depressive disorder (PGC1)",0.1621,0.0263,6.1634981,1.0679,1.0689
"175","DEPR05","","","","","",NA,NA,"",0.1084,0.0136,7.970588235,NA,NA
"176","DIAB02","Type 2 Diabetes 2012","European","EUR","both","metabolism: glucose",2012,22885922,"Type 2 diabetes 2012",0.0971,0.0106,9.16037736,1.0957,1.1331
"177","DIAB03","Type 2 Diabetes 2014","Trans-ethnic","MIX","both","metabolism: glucose",2014,24509480,"Type 2 diabetes 2014",0.0695,0.0059,11.779661,1.0466,1.1077
"178","DIAB05","Type-2 Diabetes 2017","Trans-ethnic","MIX","both","metabolism: glucose",2017,28566273,"Type 2 diabetes 2017",0.0781,0.0053,14.7358491,1.1459,1.2311
"179","DIAB06","Type-2 Diabetes 2017 BMI-adjusted","Trans-ethnic","MIX","both","metabolism: glucose",2017,28566273,"Type 2 diabetes 2017 BMI-adjusted",0.0606,0.0063,9.61904762,1.0957,1.1369
"180","DIAB07","Type 2 diabetes dominance deviation model","European","EUR","both","metabolism: glucose",2016,26961502,"Type 2 diabetes dominance deviation model",0.0114,0.0029,3.93103448,0.9986,0.9969
"181","DIAR02","Diarrhea at age 2-year (d2y)","European","EUR","both","other",2016,27559109,"Diarrhea at age 2-year (d2y)",0.1321,0.088,1.50113636,1.0105,1.0039
"182","DIAR04","Doctor diagnosis of diarrhea at age 2-year (dd2y)","European","EUR","both","other",2016,27559109,"Doctor diagnosis of diarrhea at age 2-year (dd2y)",0.0539,0.0655,0.82290076,0.9986,0.9994
"183","EDUC02","Attainment of a college or a university degree","European (UKBB)","EUR","both","mental and behavioural",2016,27046643,"Attainment of a college or a university degree",0.1524,0.0077,19.7922078,1.3068,1.3683
"184","EDUC03 (to replace EDUC01)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","ELEC01","Electrolytes: copper blood level","European","EUR","both","metabolism: other",2014,23720494,"Copper blood level",-0.0964,0.1828,-0.5273523,1.0105,1.0133
"186","ELEC02","Electrolytes: selenium blood level","European","EUR","both","metabolism: other",2014,23720494,"Selenium blood level",0.0254,0.034,0.74705882,1.0075,1.0103
"187","ELEC03","Electrolytes: zinc blood level","European","EUR","both","metabolism: other",2014,23720494,"Zinc blood level",0.0703,0.1901,0.36980537,0.9986,1.0012
"188","ELEC04","Electrolytes: iron blood level","European","EUR","both","metabolism: other",2014,25352340,"Iron blood level",0.0061,0.0101,0.6039604,1.0285,1.0348
"189","ENZY01","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"190","EPIL01","Common epilepsies","European and Asian and African","MIX","both","nervous system",2014,25087078,"Common epilepsies",0.072,0.0144,5,1.0405,1.0475
"191","EXTR01","Extraversion (item response theory)","European","EUR","both","mental and behavioural",2015,26362575,"Extraversion (item response theory)",0.0518,0.0082,6.31707317,1.0588,1.066
"192","FATM02","Fat mass anorexia-free","European","EUR","both","anthropometric",NA,NA,"Fat mass anorexia-free both",0.2029,0.0074,27.4189189,1.4853,1.6448
"193","FATM02B","Fat mass anorexia-free meta-analysis of males and females","European","EUR","both","anthropometric",NA,NA,"Fat mass anorexia-free meta",0.2049,0.0074,27.6891892,1.4926,1.651
"194","FATM02F","Fat mass anorexia-free female","European","EUR","female","anthropometric",NA,NA,"Fat mass anorexia-free female",0.2055,0.0105,19.5714286,1.2498,1.29
"195","FATM02M","Fat mass anorexia-free male","European","EUR","male","anthropometric",NA,NA,"Fat mass anorexia-free male",0.2176,0.0095,22.9052632,1.3101,1.3807
"196","FATM03","Fat mass healthy","European","EUR","both","anthropometric",NA,NA,"Fat mass healthy both",0.2019,0.0073,27.6575343,1.4853,1.6492
"197","FATM03B","Fat mass healthy meta-analysis of males and females","European","EUR","both","anthropometric",NA,NA,"Fat mass healthy meta",0.204,0.0073,27.9452055,1.4962,1.6559
"198","FATM03F","Fat mass healthy female","European","EUR","female","anthropometric",NA,NA,"Fat mass healthy female",0.205,0.0104,19.7115385,1.2564,1.2951
"199","FATM03M","Fat mass healthy male","European","EUR","male","anthropometric",NA,NA,"Fat mass healthy male",0.2179,0.0096,22.6979167,1.3101,1.3814
"200","FATM04","Fat mass","European","EUR","both","anthropometric",NA,NA,"Fat mass complete both",0.2086,0.0061,34.1967213,2.0175,2.5604
"201","FATM04B","Fat mass meta-analysis of males and females","European","EUR","both","anthropometric",NA,NA,"Fat mass complete meta",0.2087,0.0061,34.2131148,2.0175,2.5625
"202","FATM04F","Fat mass female","European","EUR","female","anthropometric",NA,NA,"Fat mass complete female",0.2278,0.0075,30.3733333,1.592,1.8358
"203","FATM04M","Fat mass male","European","EUR","male","anthropometric",NA,NA,"Fat mass complete male",0.2256,0.0081,27.8518519,1.5771,1.8025
"204","FATM05B","Fat mass healthy meta-analysis (not alcohol/smoking-adjust)","","EUR","both","anthropometric",NA,NA,NA,0.2071,0.0088,23.53409091,NA,NA
"205","FATT04","N-6 Fatty Acids: 20:4n6 (arachidonic acid)","European","EUR","both","metabolism: lipids",2014,24823311,"N-6 Fatty Acids: 20:4n6 (arachidonic acid)",0.2178,0.198,1.1,1.0165,1.0505
"206","FATT06","Ratio of bisallylic groups to double bonds","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Ratio of bisallylic groups to double bonds",0.3062,0.1219,2.511895,1.0195,1.0542
"207","FATT07","Ratio of bisallylic groups to total fatty acids","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Ratio of bisallylic groups to total fatty acids",0.2801,0.1059,2.64494806,1.0195,1.0544
"208","FATT10","22:6, docosahexaenoic acid","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"22:6, docosahexaenoic acid",0.131,0.0378,3.46560847,1.0255,1.031
"209","FATT13","Average number of double bonds in a fatty acid chain","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Average number of double bonds in a fatty acid chain",0.1745,0.0593,2.94266442,1.0255,1.0523
"210","FATT15","Description of average fatty acid chain length, not actual carbon number","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Description of average fatty acid chain length, not actual carbon number",0.1009,0.0333,3.03003003,1.0105,1.0099
"211","FATT18","18:2, linoleic acid (LA)","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"18:2, linoleic acid (LA)",0.1307,0.0429,3.04662005,1.0165,1.0374
"212","FATT20","Average number of methylene groups in fatty acid chain","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Average number of methylene groups in fatty acid chain",0.0603,0.0445,1.35505618,1.0225,1.033
"213","FATT21","Average number of methylene groups per a double bond","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Average number of methylene groups per a double bond",0.2086,0.0864,2.41435185,1.0195,1.0483
"214","FATT22","Mono-unsaturated fatty acids","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Mono-unsaturated fatty acids",0.1043,0.0408,2.55637255,1.0075,1.0157
"215","FATT24","Omega-3 fatty acids","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Omega-3 fatty acids",0.1563,0.0402,3.8880597,1.0225,1.0324
"216","FATT25","Omega-6 to total FAs ratio","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Omega-6 to total FAs ratio",0.0738,0.043,1.71627907,1.0165,1.0339
"217","FATT26","Omega-9 and saturated fatty acids","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Omega-9 and saturated fatty acids",0.0867,0.0429,2.02097902,1.0046,1.0188
"218","FATT29","otPUFA (poly-insaturated fatty acids)","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"otPUFA (poly-insaturated fatty acids)",0.1861,0.1209,1.53928867,1.0135,1.0552
"219","FATT31","Total fatty acids","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total fatty acids",0.0818,0.0452,1.80973451,1.0105,1.0268
"220","FOOD01F","Food addiction (Y-scale)","European","EUR","female","mental and behavioural",2016,27106561,"Food addiction (Y-scale)",0.1,0.0397,2.51889169,1.0075,1.0076
"221","GAIT01","Gait speed in older individuals","European","EUR","both","anthropometric",2017,28077804,"Gait speed in older individuals",0.047,0.0144,3.26388889,1.0436,1.0444
"222","GLAU01","Glaucoma (primary angle closure)","18063 East Asian (China, China, Hong Kong SAR, Japan, Republic of Korea, Indonesia, Malaysia, Myanmar, Philippines, Singapore, Thailand, Viet Nam), 2875 South Asian (India), 5516 European (Brazil, Peru, U.K.)","MIX","both","eye and adnexa",2016,27064256,"Glaucoma (primary angle closure)",0.1211,0.0181,6.69060774,1.0557,1.0711
"223","","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"224","GLYC02","HOMA-B: beta-cell function (age- & sex-adjusted)","European","EUR","both","metabolism: glucose",2010,20081858,"HOMA-B: beta-cell function (age- & sex-adjusted)",0.0888,0.0122,7.27868853,1.0496,1.0529
"225","GLYC03","Fasting pro-insulin","European","EUR","both","metabolism: glucose",2011,21873549,"Fasting pro-insulin",0.1451,0.071,2.04366197,1.0046,1.0216
"226","GLYC04","Fasting glucose (age- & sex-adjusted)","European","EUR","both","metabolism: glucose",2010,20081858,"Fasting glucose (age- & sex-adjusted)",0.0935,0.0165,5.66666667,1.0466,1.0751
"227","GLYC05","Fasting insulin (age- & sex-adjusted)","European","EUR","both","metabolism: glucose",2010,20081858,"Fasting insulin (age- & sex-adjusted)",0.0717,0.0123,5.82926829,1.0527,1.0538
"228","","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"229","GLYC07","HOMA-IR: insulin resistance (age- & sex-adjusted)","European","EUR","both","metabolism: glucose",2010,20081858,"HOMA-IR: insulin resistance (age- & sex-adjusted)",0.0689,0.0127,5.42519685,1.0496,1.0528
"230","GLYC08","Adiponectin","European","EUR","both","metabolism: glucose",2012,22479202,"Adiponectin",0.1277,0.0223,5.7264574,1.0075,1.0283
"231","GLYC09","Citrate","European (+ Finnish)","EUR","both","metabolism: glucose",2016,27005778,"Citrate",0.0765,0.0197,3.88324873,1.0315,1.0461
"232","GLYC10","Glucose","European (+ Finnish)","EUR","both","metabolism: glucose",2016,27005778,"Glucose",0.0841,0.0194,4.33505155,1.0345,1.0372
"233","GLYC11","Glycerol","European (+ Finnish)","EUR","both","metabolism: glucose",2016,27005778,"Glycerol",0.0301,0.0212,1.41981132,1.0285,1.0264
"234","GLYC12","Lactate","European (+ Finnish)","EUR","both","metabolism: glucose",2016,27005778,"Lactate",0.0233,0.0179,1.30167598,1.0255,1.0222
"235","GLYC13","Leptin (BMI-adjusted)","32,161 individuals of European descent from 23 studies","EUR","both","metabolism: glucose",2016,26833098,"Leptin (BMI-adjusted)",0.0943,0.0172,5.48255814,1.0557,1.0614
"236","GLYC14","Leptin (not BMI-adjusted)","32,161 individuals of European descent from 23 studies","EUR","both","metabolism: glucose",2016,26833098,"Leptin (not BMI-adjusted)",0.0986,0.016,6.1625,1.0588,1.056
"237","GLYC15","Pyruvate","European (+ Finnish)","EUR","both","metabolism: glucose",2016,27005778,"Pyruvate",0.0362,0.0205,1.76585366,1.0255,1.0293
"238","GLYC16","Glycaemic traits: insulin resistance meta","European","EUR","both","metabolism: glucose",NA,NA,"Glycaemic traits: insulin resistance meta",0.2215,0.035,6.32857143,1.0135,1.0134
"239","GLYC16F","Glycaemic traits: insulin resistance female","European","EUR","female","metabolism: glucose",NA,NA,"Glycaemic traits: insulin resistance female",0.2871,0.0637,4.50706436,1.0075,1.0083
"240","GLYC16M","Glycaemic traits: insulin resistance male","European","EUR","male","metabolism: glucose",NA,NA,"Glycaemic traits: insulin resistance male",0.238,0.0534,4.45692884,1.0075,1.0002
"241","GLYC17","Glycaemic traits: indices of beta-cell function meta","European","EUR","both","metabolism: glucose",NA,NA,"Glycaemic traits: indices of beta-cell function meta",0.3459,0.0752,4.59973404,1.0165,1.0162
"242","GLYC17F","Glycaemic traits: indices of beta-cell function female","European","EUR","female","metabolism: glucose",NA,NA,"Glycaemic traits: indices of beta-cell function female",0.3486,0.0938,3.71641791,1.0046,1.0058
"243","GLYC17M","Glycaemic traits: indices of beta-cell function male","European","EUR","male","metabolism: glucose",NA,NA,"Glycaemic traits: indices of beta-cell function male",0.4595,0.1095,4.19634703,1.0105,1.0117
"244","GLYC22","HbA1c European","European (N=123,665)","EUR","both","metabolism: glucose",2017,28898252,"HbA1c European",0.0604,0.0058,10.4137931,1.0105,1.066
"245","GLYC24","Stumvoll Insulin Sensitivity Index (ISI) age- & sex-adjusted","European","EUR","both","metabolism: glucose",2016,27416945,"Stumvoll Insulin Sensitivity Index (ISI) age- & sex-adjusted",0.0997,0.0286,3.48601399,1.0165,1.021
"246","GLYC25","Stumvoll Insulin Sensitivity Index (ISI) age-, sex- & BMI-adjusted","European","EUR","both","metabolism: glucose",2016,27416945,"Stumvoll Insulin Sensitivity Index (ISI) age-, sex- & BMI-adjusted",0.1182,0.0298,3.96644295,1.0046,1.0237
"247","GLYC26","OGTT: corrected insulin response","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: corrected insulin response",0.1466,0.0853,1.71864009,1.0135,1.0161
"248","GLYC27","OGTT: corrected insulin response adj. for insulin sensitivity (ISI)","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: corrected insulin response adjusted for insulin sensitivity (ISI)",0.099,0.0942,1.05095541,1.0105,1.0143
"249","GLYC28","OGTT: ratio between area under the insulin and glucose curves (AUC ins/AUC gluc)","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: ratio between area under the insulin and glucose curves (AUC ins/AUC gluc)",0.0191,0.1129,0.16917626,1.0165,1.0129
"250","GLYC29","OGTT: disposition index","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: disposition index",0.1343,0.0872,1.54013762,1.0105,1.0159
"251","GLYC30","OGTT: insulin level at 30 min of OGTT","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: insulin level at 30 min of OGTT",0.0552,0.0966,0.57142857,1.0135,1.0113
"252","GLYC31","OGTT: incremental insulin at 30 min of OGTT","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: incremental insulin at 30 min of OGTT",0.1253,0.0962,1.3024948,1.0075,1.0138
"253","GLYC32","OGTT: insulin level at 30 min of OGTT adj. for BMI","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: insulin level at 30 min of OGTT adjusted for BMI",0.0862,0.0911,0.94621295,1.0225,1.0188
"254","GLYC33","OGTT: area under the insulin curve (AUC ins)","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: area under the insulin curve (AUC ins)",0.0574,0.1113,0.51572327,1.0225,1.0147
"255","GLYC34","OGTT: insulin sensitivity in non-diabetic individuals","European","EUR","both","metabolism: glucose",2014,24699409,"OGTT: insulin sensitivity in non-diabetic individuals",0.0048,0.0927,0.05177994,1.0105,1.0074
"256","","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"257","","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"258","GLYC37","IVGTT: AIR","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: AIR",0.1257,0.0936,1.34294872,1.0195,1.0156
"259","GLYC38","IVGTT: AIR BMI- & insulin sensitivity (SI)-adjusted","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: AIR BMI- & insulin sensitivity (SI)-adjusted",0.1668,0.0984,1.69512195,1.0075,1.0105
"260","GLYC39","IVGTT: AIR insulin sensitivity (SI)-adjusted","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: AIR insulin sensitivity (SI)-adjusted",0.141,0.0953,1.4795383,1.0105,1.0103
"261","GLYC40","IVGTT: Peak","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: Peak",0.0169,0.0905,0.18674033,1.0046,1.009
"262","GLYC41","IVGTT: Peak BMI- & insulin sensitivity (SI)-adjusted","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: Peak BMI- & insulin sensitivity (SI)-adjusted",0.0363,0.0968,0.375,1.0016,1.006
"263","GLYC42","IVGTT: Peak insulin sensitivity (SI)-adjusted","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: Peak insulin sensitivity (SI)-adjusted",0.0155,0.0939,0.16506922,1.0016,1.0067
"264","GLYC43","IVGTT: DI","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: DI",0.2256,0.0877,2.57240593,1.0165,1.0168
"265","GLYC44","IVGTT: DI BMI-adjusted","European","EUR","both","metabolism: glucose",2017,28490609,"IVGTT: DI BMI-adjusted",0.16,0.091,1.75824176,1.0105,1.0126
"266","GROW01","Pubertal growth: single height measurement at age 10 in girls and 12 in boys","European","EUR","both","anthropometric",2013,23449627,"Pubertal growth: single height measurement at age 10 in girls and 12 in boys",0.4282,0.0467,9.16916488,1.0527,1.0727
"267","GROW01F","Pubertal growth: single height measurement at age 10 in girls","European","EUR","female","anthropometric",2013,23449627,"Pubertal growth: single height measurement at age 10 in girls",0.5678,0.0726,7.82093664,1.0315,1.0364
"268","GROW01M","Pubertal growth: single height measurement at age 12 in boys","European","EUR","male","anthropometric",2013,23449627,"Pubertal growth: single height measurement at age 12 in boys",0.3968,0.083,4.78072289,1.0255,1.0313
"269","GROW02","Pubertal growth: standardized difference in height between age 14 and adult in males and females","European","EUR","both","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 14 and adult in males and females",0.4508,0.1095,4.11689498,1.0135,1.0201
"270","GROW02F","Pubertal growth: standardized difference in height between age 14 and adult in females","European","EUR","female","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 14 and adult in females",0.2254,0.0813,2.77244772,1.0016,1.0048
"271","GROW02M","Pubertal growth: standardized difference in height between age 14 and adult in males","European","EUR","male","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 14 and adult in males",0.4278,0.11,3.88909091,1.0046,1.0123
"272","GROW03","Pubertal growth: standardized difference in height between age 8 and adult in males and females","European","EUR","both","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 8 and adult in males and females",0.3308,0.0503,6.57654076,1.0375,1.0447
"273","GROW03F","Pubertal growth: standardized difference in height between age 8 and adult in females","European","EUR","female","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 8 and adult in females",0.368,0.0906,4.06181016,1.0195,1.0266
"274","GROW03M","Pubertal growth: standardized difference in height between age 8 and adult in males","European","EUR","male","anthropometric",2013,23449627,"Pubertal growth: standardized difference in height between age 8 and adult in males",0.3851,0.0983,3.91759919,1.0105,1.0202
"275","HEAD01","Infant Head Circumference","European","EUR","both","anthropometric",2012,22504419,"Infant Head Circumference",0.23,0.0456,5.04385965,1.0405,1.0396
"276","HEAL01","Self-rated health","European","EUR","both","mental and behavioural",2016,27864402,"Self-rated health",0.0976,0.0057,17.122807,1.1908,1.225
"277","HEAR01","Heart Rate","European","EUR","both","circulatory",2013,23583979,"Heart Rate",0.0838,0.0087,9.63218391,1.1238,1.16
"278","HEIG01","Birth Length","European","EUR","both","anthropometric",2015,25281659,"Birth Length",0.1698,0.0227,7.48017621,1.0588,1.0671
"279","HEIG02","Extreme Height","European","EUR","both","anthropometric",2013,23563607,"Extreme Height",1.0072,0.0802,12.5586035,1.0466,1.2281
"280","HEIG05","Sitting height ratio (SHR) Sitting/total height African American","African American","AFR","both","anthropometric",2015,25865494,"Sitting height ratio (SHR) Sitting/total height African American",NA,NA,NA,NA,NA
"281","HEIG07","Sitting height ratio (SHR) Sitting/total height European","European","EUR","both","anthropometric",2015,25865494,"Sitting height ratio (SHR) Sitting/total height European",0.4063,0.0505,8.04554455,1.0466,1.0771
"282","HEIG08","Height (2018)","","EUR","both","anthropometric",2018,30124842,"Height 2019",NA,NA,22.58928571,NA,NA
"283","HIPC01","Hip circumference European","European","EUR","both","anthropometric",2015,25673412,"Hip circumference European",0.141,0.0066,21.3636364,1.0466,1.1693
"284","HIPC01F","Hip circumference European female","European","EUR","female","anthropometric",2015,25673412,"Hip circumference European female",0.1673,0.0088,19.0113636,1.0466,1.106
"285","HIPC01M","Hip circumference European male","European","EUR","male","anthropometric",2015,25673412,"Hip circumference European male",0.1776,0.0127,13.984252,1.0466,1.0861
"286","HIPC02","Hip circumference all ancestries","All ancestry","MIX","both","anthropometric",2015,25673412,"Hip circumference All Ancestries",0.1402,0.0065,21.5692308,1.0466,1.1671
"287","HIPC02F","Hip circumference all ancestries female","All ancestry","MIX","female","anthropometric",2015,25673412,"Hip circumference All Ancestries female",0.1682,0.0087,19.3333333,1.0466,1.1064
"288","HIPC02M","Hip circumference all ancestries male","All ancestry","MIX","male","anthropometric",2015,25673412,"Hip circumference All Ancestries male",0.1764,0.0125,14.112,1.0466,1.0846
"289","HIPC03","Hip circumference European BMI-adjusted","European","EUR","both","anthropometric",2015,25673412,"Hip circumference European BMI-adjusted",0.1367,0.0076,17.9868421,1.0466,1.2117
"290","HIPC03F","Hip circumference European female BMI-adjusted","European","EUR","female","anthropometric",2015,25673412,"Hip circumference European female BMI-adjusted",0.1474,0.0101,14.5940594,1.0466,1.114
"291","HIPC03M","Hip circumference European male BMI-adjusted","European","EUR","male","anthropometric",2015,25673412,"Hip circumference European male BMI-adjusted",0.1937,0.014,13.8357143,1.0466,1.1072
"292","HIPC04","Hip circumference all ancestries BMI-adjusted","All ancestry","MIX","both","anthropometric",2015,25673412,"Hip circumference All Ancestries BMI-adjusted",0.1364,0.0075,18.1866667,1.0466,1.21
"293","HIPC04F","Hip circumference all ancestries female BMI-adjusted","All ancestry","MIX","female","anthropometric",2015,25673412,"Hip circumference All Ancestries female BMI-adjusted",0.1472,0.0099,14.8686869,1.0466,1.1109
"294","HIPC04M","Hip circumference all ancestries male BMI-adjusted","All ancestry","MIX","male","anthropometric",2015,25673412,"Hip circumference All Ancestries male BMI-adjusted",0.1926,0.0139,13.8561151,1.0466,1.106
"295","HIPP01","Subcortical brain regions: Hippocampus","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Hippocampus",0.1428,0.0383,3.72845953,1.0105,1.025
"296","ICVO01","Subcortical brain regions: ICV","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: ICV",0.1751,0.0439,3.98861048,1.0375,1.0419
"297","INCO01","Household income","European","EUR","both","mental and behavioural",2016,27818178,"Household income",0.0599,0.0056,10.6964286,1.1428,1.1613
"298","INCO02","Household income, one person per household","European","EUR","both","mental and behavioural",2016,27818178,"Household income, one person per household",0.0715,0.0068,10.5147059,1.1333,1.153
"299","INCO03","Social deprivation, as measured using Townsend scores","European","EUR","both","mental and behavioural",2016,27818178,"Social deprivation, as measured using Townsend scores",0.038,0.0046,8.26086957,1.0957,1.0935
"300","INFB01","Inflammatory bowel diseases (ulcerative colitis + Crohn's disease)","European","EUR","both","autoimmune",2015,26192919,"Inflammatory bowel diseases (UC + CD)",0.319,0.0308,10.3571429,1.1747,1.2794
"301","INFL01","Glycoprotein acetyls, mainly a1-acid glycoprotein (inflammation biomarker)","European (+ Finnish)","EUR","both","metabolism: other",2016,27005778,"Glycoprotein acetyls, mainly a1-acid glycoprotein",0.0967,0.0286,3.38111888,1.0135,1.0235
"302","INFL02","CCL11","","EUR","both","blood",2017,27989323,"CCL11",NA,NA,NA,NA,NA
"303","INFL03","CCL19","KORA cohort","EUR","both","blood",2017,28240269,"CCL19",NA,NA,NA,NA,NA
"304","INFL04","CCL25","KORA cohort","EUR","both","blood",2017,28240269,"CCL25",NA,NA,NA,NA,NA
"305","INFL05","CCL3","","EUR","both","blood",2017,27989323,"CCL3",NA,NA,NA,NA,NA
"306","INFL06","CSF-1","","EUR","both","blood",2017,27989323,"CSF-1",NA,NA,NA,NA,NA
"307","INFL07","CST5","KORA cohort","EUR","both","blood",2017,28240269,"CST5",NA,NA,NA,NA,NA
"308","INFL08","CXCL1 GROa","","EUR","both","blood",2017,27989323,"CXCL1",NA,NA,NA,NA,NA
"309","INFL09","HGF","","EUR","both","blood",2017,27989323,"HGF",NA,NA,NA,NA,NA
"310","INFL10","IL10RB","KORA cohort","EUR","both","blood",2017,28240269,"IL-10RB",NA,NA,NA,NA,NA
"311","INFL11","IL-15RA","KORA cohort","EUR","both","blood",2017,28240269,"IL-15RA",NA,NA,NA,NA,NA
"312","INFL12","IL10","","EUR","both","blood",2017,27989323,"IL10",NA,NA,NA,NA,NA
"313","INFL13","IL-18","","EUR","both","blood",2017,27989323,"IL18",NA,NA,NA,NA,NA
"314","INFL14","IL-7","","EUR","both","blood",2017,27989323,"IL7",NA,NA,NA,NA,NA
"315","INFL15","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"316","INFL16","MCP-2","KORA cohort","EUR","both","blood",2017,28240269,"MCP-2",NA,NA,NA,NA,NA
"317","INFL17","MCP3","","EUR","both","blood",2017,27989323,"MCP-3",NA,NA,NA,NA,NA
"318","INFL18","OPG","KORA cohort","EUR","both","blood",2017,28240269,"OPG",NA,NA,NA,NA,NA
"319","INFL19","SIRT2","KORA cohort","EUR","both","blood",2017,28240269,"SIRT2",NA,NA,NA,NA,NA
"320","INFL20","TNFB","","EUR","both","blood",2017,27989323,"TNFB",NA,NA,NA,NA,NA
"321","INFL21","TRAIL","","EUR","both","blood",2017,27989323,"TRAIL",NA,NA,NA,NA,NA
"322","INFL22","CCL28","","EUR","both","blood",2017,28240269,"CCL28",NA,NA,NA,NA,NA
"323","INFL23","CX3CL1","KORA cohort","EUR","both","blood",2017,28240269,"CX3CL1",NA,NA,NA,NA,NA
